"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"y_rep[2,16]",0.483727763526669,0.000545450264636009,0.0337520604891244,0.41813838226569,0.461786207832348,0.4836989564911,0.505696240806431,0.551463971823221,3829.04321444785,0.999822524920335
"y_rep[2,17]",0.518642699903007,0.000537938803149998,0.0346080512364784,0.448769276583149,0.495975502158586,0.51951714783416,0.541396460328097,0.58661284943831,4138.93442135975,0.999350345663741
"y_rep[2,18]",0.555397059260484,0.000520607685644006,0.0344543977284121,0.488148563641287,0.532822011246354,0.555694395466002,0.578664105461958,0.622278739533272,4379.94013898452,0.999840460380979
"y_rep[2,19]",0.589948060362746,0.000564817581931992,0.0345569145800513,0.522782660910121,0.566588759174928,0.589954978214634,0.613305128269334,0.658094256566384,3743.29026297688,0.999435278622172
"y_rep[2,20]",0.626251728126533,0.000555336823627654,0.0344751728428198,0.557562716570712,0.603901968037204,0.626143556965206,0.649245629165902,0.692960655230308,3853.89573258806,1.00063089583801
"y_rep[2,21]",0.661589056960023,0.000561641493828536,0.034496963044859,0.595774647254283,0.638351368202132,0.661585278793996,0.684348253365109,0.732743401298732,3772.62254134607,0.999794409592841
"y_rep[2,22]",0.694797956637524,0.000562358918519621,0.0350409833136576,0.626038478536718,0.671174725945987,0.695291222613639,0.717865275598976,0.765656928642503,3882.62454211559,0.999096002937361
"y_rep[2,23]",0.742665630726794,0.000574890359470103,0.0349269502800365,0.674081381651349,0.718367905950726,0.742708018072971,0.766105987828215,0.812513806651425,3691.06148936692,1.00004831809477
"y_rep[2,24]",0.773442231855676,0.00053885224148118,0.0346608448450269,0.703503530884402,0.750564723302837,0.773036116423125,0.797102404191563,0.842536992570005,4137.50851964294,1.00087734837634
"y_rep[2,25]",0.80232716345013,0.000587515636911617,0.0356038646028324,0.731790396065364,0.777836213593746,0.80249544041818,0.826064195338546,0.871897242250448,3672.4460256623,1.00004172859909
"y_rep[2,26]",0.82832058304288,0.000581905487272731,0.0362973569118894,0.756050794027786,0.804561705098322,0.828663310878407,0.852985962578446,0.898039031634404,3890.85546933363,1.00009654355598
"y_rep[2,27]",0.853054272486072,0.000600085198942457,0.0375099313051566,0.779310108571213,0.827657561568451,0.85352277415414,0.878292817560451,0.925853380149855,3907.20958335091,1.00098029356034
"y_rep[3,1]",0.0686476878856904,0.000519951389909805,0.0329806442717891,0.00439099528753714,0.0462105267782514,0.0676711126563411,0.091331041643828,0.133455644413795,4023.39603485637,0.999247680487414
"y_rep[3,2]",0.0748966362882274,0.000521905463682849,0.0325730678196408,0.0102456496002634,0.0529069120593992,0.075486030911782,0.0966265831959709,0.139551898766726,3895.23478858489,0.999745154992378
"y_rep[3,3]",0.0807569845715553,0.000522900616133872,0.0329038773405351,0.0169817597626976,0.0580788227293004,0.0814913644344563,0.102919993547038,0.144864336786821,3959.64132329477,1.00031941715015
"y_rep[3,4]",0.0911343115060907,0.000534527113415481,0.033030129108132,0.0281914156412999,0.069150630772585,0.0915640400015002,0.112598459781873,0.156388955872084,3818.39685728688,1.00157236066424
"y_rep[3,5]",0.10264736078884,0.000510439205689067,0.0324861455352544,0.039154653972045,0.080610323849524,0.103291100928685,0.124705135110763,0.164122401961549,4050.49707421951,1.00214283946124
